latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.40277,-39.3516,303.41,1.04,1.02,2025-04-23,0009,T,55,6.1NRT,291.82,4.78,N
-8.09175,-43.10972,313.43,1.26,1.12,2025-04-23,0011,T,87,6.1NRT,287.61,16.57,N
-8.09321,-43.12083,303.79,1.26,1.12,2025-04-23,0011,T,38,6.1NRT,288.59,6.92,N
47.84414,131.3241,302.49,1.61,1.25,2025-04-23,0050,T,52,6.1NRT,288.66,7.64,D
46.71172,129.83095,314.34,1.87,1.34,2025-04-23,0050,T,70,6.1NRT,287.79,26.45,D
46.70362,129.84671,305,1.86,1.33,2025-04-23,0050,T,48,6.1NRT,288.78,9.8,D
46.69364,129.82109,305.87,1.87,1.34,2025-04-23,0050,T,47,6.1NRT,288.85,10.55,D
7.67575,125.13383,313.7,1.16,1.07,2025-04-23,0100,T,64,6.1NRT,298.45,6.21,D
6.10134,125.64365,311.27,1.07,1.03,2025-04-23,0100,T,43,6.1NRT,287.01,7.72,D
-13.88493,131.13332,309.67,3.03,1.66,2025-04-23,0107,T,34,6.1NRT,276.13,39.57,D
-13.8859,131.12648,312.96,3.03,1.66,2025-04-23,0107,T,56,6.1NRT,276.9,52.15,D
-13.92979,131.12126,310.95,3.03,1.66,2025-04-23,0107,T,60,6.1NRT,278.84,43.28,D
-14.05295,131.81339,317.98,3.45,1.75,2025-04-23,0107,T,76,6.1NRT,274.15,85.74,D
-14.04925,131.80814,313.34,3.45,1.75,2025-04-23,0107,T,69,6.1NRT,274.62,69.31,D
-13.97197,130.81537,309.28,2.87,1.62,2025-04-23,0107,T,44,6.1NRT,286.1,27.19,D
-15.60433,131.08395,313.9,3.18,1.69,2025-04-23,0107,T,51,6.1NRT,276.64,57.2,D
-15.60358,131.07884,310.9,3.18,1.69,2025-04-23,0107,T,71,6.1NRT,276.56,52.53,D
-15.60652,131.10744,304.73,3.19,1.69,2025-04-23,0107,T,52,6.1NRT,275.73,30.94,D
-15.64535,129.27948,306.75,2.29,1.47,2025-04-23,0107,T,0,6.1NRT,269.77,25,D
-15.64359,129.27328,309.32,2.29,1.47,2025-04-23,0107,T,0,6.1NRT,269.89,29.35,D
-16.15569,125.49043,311.37,1.25,1.11,2025-04-23,0107,T,61,6.1NRT,297.63,7.47,D
-16.233,125.7756,309.6,1.3,1.13,2025-04-23,0107,T,55,6.1NRT,296.38,5.89,D
-16.29831,125.9691,312.41,1.34,1.15,2025-04-23,0107,T,63,6.1NRT,293.88,11.78,D
-16.34477,125.77254,309.37,1.31,1.13,2025-04-23,0107,T,52,6.1NRT,296.31,6.24,D
-16.57662,126.83106,310.61,1.55,1.23,2025-04-23,0107,T,58,6.1NRT,293.86,9.47,D
-16.72783,126.65659,314.52,1.51,1.21,2025-04-23,0107,T,67,6.1NRT,290.81,15.39,D
-17.40695,130.85609,312.71,3.23,1.7,2025-04-23,0107,T,49,6.1NRT,294.19,33.97,D
-17.422,130.8544,315.81,3.23,1.7,2025-04-23,0107,T,71,6.1NRT,294.63,48.37,D
-18.43054,130.38766,330.28,3.06,1.66,2025-04-23,0107,T,84,6.1NRT,298.04,118.34,D
-18.43125,130.38188,324.82,3.06,1.66,2025-04-23,0107,T,79,6.1NRT,297.75,91.88,D
-18.43399,130.41017,319.16,3.08,1.67,2025-04-23,0107,T,72,6.1NRT,297.06,62.86,D
-22.11887,123.24496,317.25,1.11,1.05,2025-04-23,0109,T,61,6.1NRT,304.46,7.35,D
-22.14964,123.26199,316.22,1.12,1.05,2025-04-23,0109,T,58,6.1NRT,303.88,7.63,D
-28.74933,115.41909,313.52,1.37,1.16,2025-04-23,0109,T,62,6.1NRT,297.31,8.39,D
-29.33202,115.80759,353.6,1.27,1.12,2025-04-23,0109,T,97,6.1NRT,300.06,90.47,D
-29.33419,115.82044,316.72,1.27,1.12,2025-04-23,0109,T,70,6.1NRT,298.41,11.28,D
-29.3419,115.80538,320.23,1.27,1.12,2025-04-23,0109,T,75,6.1NRT,297.53,15.81,D
-30.39785,116.14724,326.17,1.18,1.08,2025-04-23,0109,T,81,6.1NRT,297.11,23.07,D
-30.39985,116.15929,326.31,1.18,1.08,2025-04-23,0109,T,81,6.1NRT,297.47,23.28,D
-31.01336,116.97227,309.87,1.08,1.04,2025-04-23,0111,T,61,6.1NRT,297.01,4.85,D
-31.75109,117.67838,326.41,1.02,1.01,2025-04-23,0111,T,84,6.1NRT,298.05,19.47,D
-31.7527,117.68897,318.25,1.02,1.01,2025-04-23,0111,T,58,6.1NRT,296.51,10.76,D
-34.03394,117.20222,308.26,1.02,1.01,2025-04-23,0111,T,67,6.1NRT,291.01,7.4,D
13.90546,25.78886,309.1,1.19,1.09,2025-04-23,0052,A,76,6.1NRT,293.65,11.61,N
13.90395,25.79947,305.1,1.19,1.09,2025-04-23,0052,A,63,6.1NRT,294.28,8,N
12.30634,31.61409,306.64,1.36,1.15,2025-04-23,0052,A,63,6.1NRT,296.63,7.17,N
12.29695,28.75546,310.9,1.01,1.01,2025-04-23,0052,A,81,6.1NRT,297.47,8.05,N
